entry	name	body_start	body_end
00012458	_init	00012458	000124db
000124e0	main	000124e0	000125f3
00012a70	deregister_tm_clones	00012a70	00012ab3
00012ab4	register_tm_clones	00012ab4	00012aff
00012b00	__do_global_dtors_aux	00012b00	00012be3
00012be4	frame_dummy	00012be4	00012c3b
00012c40	get_volume	00012c40	00012cc3
00012cc4	api_cube_update_flip_screens	00012cc4	00012dd7
00012dd8	set_backlight_value	00012dd8	00012e73
00012e74	cube_shmget_init	00012e74	00012f7f
00012f80	cube_shmget_game_status.part.1	00012f80	00012fdf
00012fe0	cube_memory_save.constprop.3	00012fe0	00013083
00013084	cube_memory_get.constprop.4	00013084	00013127
00013128	api_cube_send_msg_to_process	00013128	000131c3
000131c4	api_cube_send_msg	000131c4	0001325f
00013260	api_cube_receive_msg	00013260	000132ff
00013300	fbdev_aspect_ratio_wrok	00013300	000134f3
000134f4	api_get_hdmi_tx_connection_status	000134f4	000135a7
000135a8	cube_msg_pthread_cb	000135a8	000138fb
000138fc	cube_msg_pthread_init	000138fc	00013a7b
00013a7c	cube_msg_thread_deinit	00013a7c	00013ae7
00013ae8	cube_ioctl	00013ae8	00013e43
00013e50	api_cube_free	00013e50	00013f0f
00013f10	api_cube_malloc	00013f10	000140cb
000140d0	video_drivers_init	000140d0	0001424f
00014250	video_driver_deinit	00014250	0001427f
00014280	video_driver_mutex_lock	00014280	000142af
000142b0	video_driver_mutex_unlock	000142b0	000142df
000142e0	video_driver_disp_frame	000142e0	000144ab
000144ac	video_driver_setting	000144ac	00014503
00014504	video_driver_setmode	00014504	000145bb
000145bc	video_driver_get_size	000145bc	000145e3
000145e4	video_driver_get_screen_size	000145e4	0001460b
0001460c	video_driver_update_screen	0001460c	00014663
00014670	set_bootup_slot	00014670	000146fb
000146fc	key_task	000146fc	000147e3
000147e4	exit_game	000147e4	0001489b
0001489c	get_multios_app	0001489c	00014997
00014998	set_multios_app	00014998	00014cb3
00014cb4	api_osd_show_onoff	00014cb4	00014d83
00014d84	enter_multios_app	00014d84	00014ecf
00014ed0	check_exit_game	00014ed0	00014fc7
00014fd0	fb_render_task	00014fd0	0001518f
00015190	__fbdev_deinit	00015190	000152d7
000152d8	fb_paint_task	000152d8	00015b93
00015b94	driver_get_param_from_dts	00015b94	00015c43
00015c44	driver_get_string_from_dts.constprop.1	00015c44	00015cc7
00015cc8	fbdev_draw_frame	00015cc8	0001606f
00016070	fbdev_backlight_init	00016070	00016123
00016124	fbdev_video_aspect_ratio	00016124	0001614f
00016150	fbdev_deinit	00016150	00016183
00016184	get_screen_rotation_from_dtb	00016184	00016283
00016284	fbdev_get_avparam	00016284	0001665b
0001665c	get_avparam_volume	0001665c	000166ff
00016700	fbdev_setrotate	00016700	00016a33
00016a34	fbdev_init	00016a34	000173b7
000173b8	fbdev_setfilp	000173b8	000174cf
000174d0	fbdev_set_enhance	000174d0	00017633
00017634	fbdev_get_color_format_src	00017634	0001765f
00017660	gpio_init	00017660	00017753
00017754	gpio_deinit	00017754	000177a3
000177a4	gpio_set_output	000177a4	0001780f
00017810	gpio_get_input	00017810	00017857
00017858	gpio_configure	00017858	00017953
00017954	gpio_get_configure	00017954	000179a3
000179b0	pinmux_init	000179b0	00017a1f
00017a20	pinmux_deinit	00017a20	00017a4f
00017a50	pinmux_configure	00017a50	00017b37
00017b40	sunxi_gpio_init	00017b40	00017bab
00017bac	sunxi_gpio_set_cfgpin	00017bac	00017c0b
00017c0c	sunxi_gpio_get_cfgpin	00017c0c	00017c4f
00017c50	sunxi_gpio_output	00017c50	00017caf
00017cb0	sunxi_gpio_input	00017cb0	00017cf3
00017cf4	sunxi_gpio_cleanup	00017cf4	00017cfb
00017d00	api_message_create_path	00017d00	00017e5f
00017e60	api_message_create	00017e60	00017f43
00017f44	api_message_delete	00017f44	00017faf
00017fb0	api_message_send	00017fb0	0001806b
0001806c	api_message_receive	0001806c	000180eb
000180ec	api_message_receive_block	000180ec	00018167
00018168	api_message_receive_tm	00018168	0001826b
0001826c	api_message_get_count	0001826c	000182df
000182e0	pcm_decoder_init	000182e0	000184cf
000184d0	pcm_get_buffering_percent	000184d0	00018537
00018538	pcm_decode	00018538	0001866b
0001866c	pcm_decoder_flush	0001866c	0001868f
00018690	pcm_decoder_destroy	00018690	000186f3
000186f4	pcm_decode_eos	000186f4	000187c7
000187c8	pcm_play_task	000187c8	0001894f
00018950	sound_driver_init	00018950	00018aa3
00018aa4	sound_driver_deinit	00018aa4	00018b17
00018b18	sound_driver_playframe	00018b18	00018bd7
00018bd8	sound_driver_flush	00018bd8	00018c07
00018c10	hcge_open	00018c10	00018f1f
00018f20	hcge_close	00018f20	00018fe7
00018fe8	hcge_hw_reset	00018fe8	000190d3
000190e0	gen_fliter_coef	000190e0	00019537
00019538	hcge_engine_sync	00019538	00019743
00019744	hcge_draw_rect	00019744	000198d3
000198d4	hcge_fill_rect	000198d4	00019bb3
00019bb4	hcge_blit	00019bb4	0001ab97
0001ab98	hcge_stretch_blit	0001ab98	0001b44b
0001b44c	hcge_fill_rect_ext	0001b44c	0001b5eb
0001b5f0	hcge_ge_coeff	0001b5f0	0001b6ef
0001b6f0	hcge_clip_rect	0001b6f0	0001b7d3
0001b7d4	hcge_clip_blit	0001b7d4	0001b893
0001b894	hcge_clip_stretch_blit	0001b894	0001b9f3
0001b9f4	hcge_get_inverse_matrix	0001b9f4	0001ba9f
0001baa0	hcge_matrix_translate_right_multiply	0001baa0	0001bae3
0001bae4	hcge_matrix_translate_left_multiply	0001bae4	0001bb07
0001bb08	hcge_matrix_multiply	0001bb08	0001bbb3
0001bbb4	hcge_get_bounding_rect	0001bbb4	0001be57
0001be60	hcge_matrix_init_rotate	0001be60	0001befb
0001befc	hcge_matrix_init_rotate_ext	0001befc	0001c077
0001c078	hcge_clip_qw	0001c078	0001c0df
0001c0e0	grp_func_filler	0001c0e0	0001c0f7
0001c0f8	grp_dst_ctx_filler	0001c0f8	0001c12b
0001c12c	grp_src_ctx_filler	0001c12c	0001c14b
0001c14c	grp_ptn_ctx_filler	0001c14c	0001c16b
0001c16c	grp_msk_ctx_filler	0001c16c	0001c18b
0001c18c	grp_color_filler	0001c18c	0001c1b3
0001c1b4	grp_paint_type_filler	0001c1b4	0001c1cb
0001c1cc	grp_color_key_filler	0001c1cc	0001c1eb
0001c1ec	grp_dst_pos_filler	0001c1ec	0001c227
0001c228	grp_src_pos_filler	0001c228	0001c23f
0001c240	grp_ptn_pos_filler	0001c240	0001c25f
0001c260	grp_msk_pos_filler	0001c260	0001c27f
0001c280	grp_clut_filler	0001c280	0001c29f
0001c2a0	grp_clip_filler	0001c2a0	0001c2bf
0001c2c0	grp_rop_filler	0001c2c0	0001c2d7
0001c2d8	grp_dfb_gcolor_filler	0001c2d8	0001c2ef
0001c2f0	grp_matrix_filler	0001c2f0	0001c337
0001c338	grp_flt_filler	0001c338	0001c35f
0001c360	grp_dither_par0	0001c360	0001c377
0001c378	grp_dither_par1	0001c378	0001c38f
0001c390	hcge_cmdq_vaddr	0001c390	0001c3ef
0001c3f0	hcge_cmdq_paddr	0001c3f0	0001c45b
0001c45c	hcge_construct_nodes	0001c45c	0001c5ff
0001c600	hcge_reset	0001c600	0001c677
0001c678	hcge_start	0001c678	0001c7b3
0001c7b4	hcge_feed_nodes	0001c7b4	0001cb1b
0001cb20	to_argb8888	0001cb20	0001cc2b
0001cc2c	hcge_check_blit_state	0001cc2c	0001ced7
0001ced8	hcge_process_matrix	0001ced8	0001d0c3
0001d0c4	hcge_set_state	0001d0c4	0001e14b
0001e14c	hcge_check_state	0001e14c	0001e237
0001e238	hcge_state_init	0001e238	0001e2ab
0001e2b0	hcge_blend_to_string	0001e2b0	0001e36f
0001e398	hcge_drawingflags_to_string	0001e398	0001e557
0001e558	hcge_blittingflags_to_string	0001e558	0001e717
0001e718	hcge_state_modify_flags	0001e718	0001e8e7
0001e8e8	hcge_pixelformat_name	0001e8e8	0001e9ff
0001ea00	tunefilter	0001ea00	0001eb2b
0001eb2c	designfilter	0001eb2c	0001f3bf
0001f3c0	designfilterff	0001f3c0	00020b37
00020b38	extract_phase	00020b38	00020b77
00020b78	extract_coef	00020b78	00020b9b
00020ba0	__do_global_ctors_aux	00020ba0	00020bff
00020c00	pthread_mutex_unlock	00020c00	00020c0f
00020c10	cos	00020c10	00020c1f
00020c20	strcmp	00020c20	00020c2f
00020c30	read	00020c30	00020c3f
00020c40	pthread_mutex_destroy	00020c40	00020c4f
00020c50	printf	00020c50	00020c5f
00020c60	free	00020c60	00020c6f
00020c70	memcpy	00020c70	00020c7f
00020c80	shmget	00020c80	00020c8f
00020c90	pthread_mutex_init	00020c90	00020c9f
00020ca0	mmap64	00020ca0	00020caf
00020cb0	pthread_cond_wait	00020cb0	00020cbf
00020cc0	sincos	00020cc0	00020ccf
00020cd0	msgctl	00020cd0	00020cdf
00020ce0	shmat	00020ce0	00020cef
00020cf0	pthread_mutex_lock	00020cf0	00020cff
00020d00	ioctl	00020d00	00020d0f
00020d10	perror	00020d10	00020d1f
00020d20	msgrcv	00020d20	00020d2f
00020d30	usleep	00020d30	00020d3f
00020d40	pthread_create	00020d40	00020d4f
00020d50	pthread_cond_signal	00020d50	00020d5f
00020d60	getenv	00020d60	00020d6f
00020d70	malloc	00020d70	00020d7f
