address	type	name
EXTERNAL:00000001	Function	<EXTERNAL>::__gmon_start__
EXTERNAL:00000002	Function	<EXTERNAL>::__cxa_finalize
EXTERNAL:00000003	Function	<EXTERNAL>::calloc
EXTERNAL:00000004	Function	<EXTERNAL>::close
EXTERNAL:00000005	Function	<EXTERNAL>::strtol
EXTERNAL:00000006	Function	<EXTERNAL>::__xstat64
EXTERNAL:00000007	Function	<EXTERNAL>::msgsnd
EXTERNAL:00000008	Function	<EXTERNAL>::strncmp
EXTERNAL:00000009	Function	<EXTERNAL>::msgget
EXTERNAL:0000000a	Function	<EXTERNAL>::fopen64
EXTERNAL:0000000b	Function	<EXTERNAL>::ftok
EXTERNAL:0000000c	Function	<EXTERNAL>::pthread_join
EXTERNAL:0000000d	Function	<EXTERNAL>::fclose
EXTERNAL:0000000e	Function	<EXTERNAL>::pthread_cond_destroy
EXTERNAL:0000000f	Function	<EXTERNAL>::munmap
EXTERNAL:00000010	Function	<EXTERNAL>::pthread_attr_setstacksize
EXTERNAL:00000011	Function	<EXTERNAL>::pthread_exit
EXTERNAL:00000012	Function	<EXTERNAL>::access
EXTERNAL:00000013	Function	<EXTERNAL>::cacheflush
EXTERNAL:00000014	Function	<EXTERNAL>::strncpy
EXTERNAL:00000015	Function	<EXTERNAL>::snprintf
EXTERNAL:00000016	Function	<EXTERNAL>::memset
EXTERNAL:00000017	Function	<EXTERNAL>::open64
EXTERNAL:00000018	Function	<EXTERNAL>::pthread_cond_init
EXTERNAL:00000019	Function	<EXTERNAL>::write
EXTERNAL:0000001a	Function	<EXTERNAL>::fprintf
EXTERNAL:0000001b	Function	<EXTERNAL>::pthread_attr_init
EXTERNAL:0000001c	Function	<EXTERNAL>::sin
EXTERNAL:0000001d	Function	<EXTERNAL>::fsync
EXTERNAL:0000001e	Function	<EXTERNAL>::strlen
EXTERNAL:0000001f	Function	<EXTERNAL>::exit
EXTERNAL:00000020	Function	<EXTERNAL>::modf
EXTERNAL:00000021	Function	<EXTERNAL>::__memcpy_chk
EXTERNAL:00000022	Function	<EXTERNAL>::system
EXTERNAL:00000023	Function	<EXTERNAL>::puts
EXTERNAL:00000024	Function	<EXTERNAL>::malloc
EXTERNAL:00000025	Function	<EXTERNAL>::getenv
EXTERNAL:00000026	Function	<EXTERNAL>::pthread_cond_signal
EXTERNAL:00000027	Function	<EXTERNAL>::pthread_create
EXTERNAL:00000028	Function	<EXTERNAL>::usleep
EXTERNAL:00000029	Function	<EXTERNAL>::msgrcv
EXTERNAL:0000002a	Function	<EXTERNAL>::perror
EXTERNAL:0000002b	Function	<EXTERNAL>::ioctl
EXTERNAL:0000002c	Function	<EXTERNAL>::pthread_mutex_lock
EXTERNAL:0000002d	Function	<EXTERNAL>::shmat
EXTERNAL:0000002e	Function	<EXTERNAL>::msgctl
EXTERNAL:0000002f	Function	<EXTERNAL>::sincos
EXTERNAL:00000030	Function	<EXTERNAL>::pthread_cond_wait
EXTERNAL:00000031	Function	<EXTERNAL>::mmap64
EXTERNAL:00000032	Function	<EXTERNAL>::pthread_mutex_init
EXTERNAL:00000033	Function	<EXTERNAL>::shmget
EXTERNAL:00000034	Function	<EXTERNAL>::memcpy
EXTERNAL:00000035	Function	<EXTERNAL>::free
EXTERNAL:00000036	Function	<EXTERNAL>::printf
EXTERNAL:00000037	Function	<EXTERNAL>::pthread_mutex_destroy
EXTERNAL:00000038	Function	<EXTERNAL>::read
EXTERNAL:00000039	Function	<EXTERNAL>::strcmp
EXTERNAL:0000003a	Function	<EXTERNAL>::cos
EXTERNAL:0000003b	Function	<EXTERNAL>::pthread_mutex_unlock
