address	type	name
EXTERNAL:00000001	Function	<EXTERNAL>::lv_obj_set_style_transform_zoom
EXTERNAL:00000002	Function	<EXTERNAL>::open
EXTERNAL:00000003	Function	<EXTERNAL>::pthread_mutex_destroy
EXTERNAL:00000004	Function	<EXTERNAL>::lv_obj_add_style
EXTERNAL:00000005	Function	<EXTERNAL>::lv_mem_alloc
EXTERNAL:00000006	Function	<EXTERNAL>::strcat
EXTERNAL:00000007	Function	<EXTERNAL>::lv_font_get_glyph_dsc_fmt_txt
EXTERNAL:00000008	Function	<EXTERNAL>::zip_fclose
EXTERNAL:00000009	Function	<EXTERNAL>::lv_obj_get_index
EXTERNAL:0000000a	Function	<EXTERNAL>::fread
EXTERNAL:0000000b	Function	<EXTERNAL>::lv_group_remove_obj
EXTERNAL:0000000c	Function	<EXTERNAL>::lv_disp_get_hor_res
EXTERNAL:0000000d	Function	<EXTERNAL>::lv_palette_main
EXTERNAL:0000000e	Function	<EXTERNAL>::hcplayer_stop2
EXTERNAL:0000000f	Function	<EXTERNAL>::lv_list_create
EXTERNAL:00000010	Function	<EXTERNAL>::__ctype_tolower_loc
EXTERNAL:00000011	Function	<EXTERNAL>::lv_obj_set_flex_align
EXTERNAL:00000012	Function	<EXTERNAL>::socket
EXTERNAL:00000013	Function	<EXTERNAL>::access
EXTERNAL:00000014	Function	<EXTERNAL>::lv_draw_img
EXTERNAL:00000015	Function	<EXTERNAL>::hcplayer_deinit
EXTERNAL:00000016	Function	<EXTERNAL>::lv_btnmatrix_clear_btn_ctrl_all
EXTERNAL:00000017	Function	<EXTERNAL>::lv_tabview_add_tab
EXTERNAL:00000018	Function	<EXTERNAL>::hcplayer_change_video_track
EXTERNAL:00000019	Function	<EXTERNAL>::mkdir
EXTERNAL:0000001a	Function	<EXTERNAL>::lv_checkbox_create
EXTERNAL:0000001b	Function	<EXTERNAL>::lv_obj_has_flag
EXTERNAL:0000001c	Function	<EXTERNAL>::glist_nth_prev
EXTERNAL:0000001d	Function	<EXTERNAL>::hcplayer_set_display_rect
EXTERNAL:0000001e	Function	<EXTERNAL>::strstr
EXTERNAL:0000001f	Function	<EXTERNAL>::_lv_ll_get_next
EXTERNAL:00000020	Function	<EXTERNAL>::fopen
EXTERNAL:00000021	Function	<EXTERNAL>::lv_scr_load_anim
EXTERNAL:00000022	Function	<EXTERNAL>::lv_style_set_pad_top
EXTERNAL:00000023	Function	<EXTERNAL>::pthread_attr_destroy
EXTERNAL:00000024	Function	<EXTERNAL>::lv_group_set_default
EXTERNAL:00000025	Function	<EXTERNAL>::strncasecmp
EXTERNAL:00000026	Function	<EXTERNAL>::lv_label_get_text
EXTERNAL:00000027	Function	<EXTERNAL>::lv_obj_set_style_bg_grad_dir
EXTERNAL:00000028	Function	<EXTERNAL>::lv_style_set_text_color
EXTERNAL:00000029	Function	<EXTERNAL>::lv_style_set_border_side
EXTERNAL:0000002a	Function	<EXTERNAL>::hcplayer_multi_create
EXTERNAL:0000002b	Function	<EXTERNAL>::lv_group_create
EXTERNAL:0000002c	Function	<EXTERNAL>::lv_obj_set_style_pad_top
EXTERNAL:0000002d	Function	<EXTERNAL>::lv_obj_set_style_outline_color
EXTERNAL:0000002e	Function	<EXTERNAL>::lv_style_set_outline_width
EXTERNAL:0000002f	Function	<EXTERNAL>::calloc
EXTERNAL:00000030	Function	<EXTERNAL>::lv_obj_set_style_text_color
EXTERNAL:00000031	Function	<EXTERNAL>::lv_obj_clear_flag
EXTERNAL:00000032	Function	<EXTERNAL>::lv_obj_add_event_cb
EXTERNAL:00000033	Function	<EXTERNAL>::lv_chart_create
EXTERNAL:00000034	Function	<EXTERNAL>::lv_style_set_bg_img_src
EXTERNAL:00000035	Function	<EXTERNAL>::lv_tabview_get_tab_act
EXTERNAL:00000036	Function	<EXTERNAL>::lv_img_set_src
EXTERNAL:00000037	Function	<EXTERNAL>::lv_group_del
EXTERNAL:00000038	Function	<EXTERNAL>::hcplayer_multi_destroy
EXTERNAL:00000039	Function	<EXTERNAL>::hcplayer_get_video_streams_count
EXTERNAL:0000003a	Function	<EXTERNAL>::lv_timer_create
EXTERNAL:0000003b	Function	<EXTERNAL>::lv_obj_set_style_shadow_width
EXTERNAL:0000003c	Function	<EXTERNAL>::hcplayer_init
EXTERNAL:0000003d	Function	<EXTERNAL>::epoll_wait
EXTERNAL:0000003e	Function	<EXTERNAL>::zip_stat_index
EXTERNAL:0000003f	Function	<EXTERNAL>::zip_strerror
EXTERNAL:00000040	Function	<EXTERNAL>::lv_obj_get_x_aligned
EXTERNAL:00000041	Function	<EXTERNAL>::lv_obj_clean
EXTERNAL:00000042	Function	<EXTERNAL>::hcplayer_change_audio_track
EXTERNAL:00000043	Function	<EXTERNAL>::fgets
EXTERNAL:00000044	Function	<EXTERNAL>::lv_indev_drv_init
EXTERNAL:00000045	Function	<EXTERNAL>::lv_font_get_bitmap_fmt_txt
EXTERNAL:00000046	Function	<EXTERNAL>::memcpy
EXTERNAL:00000047	Function	<EXTERNAL>::hcplayer_get_nth_video_stream_info
EXTERNAL:00000048	Function	<EXTERNAL>::lv_obj_set_style_shadow_opa
EXTERNAL:00000049	Function	<EXTERNAL>::lv_obj_set_scrollbar_mode
EXTERNAL:0000004a	Function	<EXTERNAL>::lv_tabview_get_tab_btns
EXTERNAL:0000004b	Function	<EXTERNAL>::write
EXTERNAL:0000004c	Function	<EXTERNAL>::malloc
EXTERNAL:0000004d	Function	<EXTERNAL>::lv_btnmatrix_set_one_checked
EXTERNAL:0000004e	Function	<EXTERNAL>::lv_obj_set_style_outline_pad
EXTERNAL:0000004f	Function	<EXTERNAL>::lv_indev_set_group
EXTERNAL:00000050	Function	<EXTERNAL>::lv_timer_del
EXTERNAL:00000051	Function	<EXTERNAL>::lv_freetype_init
EXTERNAL:00000052	Function	<EXTERNAL>::strlen
EXTERNAL:00000053	Function	<EXTERNAL>::lv_btnmatrix_set_btn_ctrl
EXTERNAL:00000054	Function	<EXTERNAL>::munmap
EXTERNAL:00000055	Function	<EXTERNAL>::usleep
EXTERNAL:00000056	Function	<EXTERNAL>::hcplayer_play
EXTERNAL:00000057	Function	<EXTERNAL>::lv_ft_font_init
EXTERNAL:00000058	Function	<EXTERNAL>::accept
EXTERNAL:00000059	Function	<EXTERNAL>::lv_style_set_pad_row
EXTERNAL:0000005a	Function	<EXTERNAL>::lv_obj_set_style_arc_color
EXTERNAL:0000005b	Function	<EXTERNAL>::hcplayer_multi_play
EXTERNAL:0000005c	Function	<EXTERNAL>::hcplayer_multi_position
EXTERNAL:0000005d	Function	<EXTERNAL>::lv_style_set_text_font
EXTERNAL:0000005e	Function	<EXTERNAL>::lv_anim_start
EXTERNAL:0000005f	Function	<EXTERNAL>::lv_disp_get_scr_act
EXTERNAL:00000060	Function	<EXTERNAL>::lv_obj_set_style_shadow_color
EXTERNAL:00000061	Function	<EXTERNAL>::readdir
EXTERNAL:00000062	Function	<EXTERNAL>::sprintf
EXTERNAL:00000063	Function	<EXTERNAL>::__xstat
EXTERNAL:00000064	Function	<EXTERNAL>::lv_obj_set_style_text_opa
EXTERNAL:00000065	Function	<EXTERNAL>::pthread_attr_setstacksize
EXTERNAL:00000066	Function	<EXTERNAL>::lv_bar_set_value
EXTERNAL:00000067	Function	<EXTERNAL>::snd_spectrum_stop
EXTERNAL:00000068	Function	<EXTERNAL>::lv_label_set_text
EXTERNAL:00000069	Function	<EXTERNAL>::lv_label_set_recolor
EXTERNAL:0000006a	Function	<EXTERNAL>::msgsnd
EXTERNAL:0000006b	Function	<EXTERNAL>::glist_delete_link
EXTERNAL:0000006c	Function	<EXTERNAL>::lv_btnmatrix_get_btn_text
EXTERNAL:0000006d	Function	<EXTERNAL>::strcmp
EXTERNAL:0000006e	Function	<EXTERNAL>::lv_roller_set_selected
EXTERNAL:0000006f	Function	<EXTERNAL>::lv_obj_set_style_line_color
