entry	name	body_start	body_end
00400644	_init	00400644	004006af
004006b0	main	004006b0	0040081b
00400820	__start	00400820	0040086f
00400870	deregister_tm_clones	00400870	004008ab
004008ac	register_tm_clones	004008ac	004008f3
004008f4	__do_global_dtors_aux	004008f4	004009a3
004009a4	frame_dummy	004009a4	004009e7
004009f0	ShareMemCreat	004009f0	00400a93
00400a94	ShareMemClose	00400a94	00400b1b
00400b1c	get_old_file_time	00400b1c	00400b2f
00400b30	wait4children	00400b30	00400b4b
00400b4c	read_childproc	00400b4c	00400b9f
00400ba0	__libc_csu_init	00400ba0	00400c43
00400c44	__libc_csu_fini	00400c44	00400c4b
00400c50	__do_global_ctors_aux	00400c50	00400ca3
00400cb0	_fini	00400cb0	00400ceb
00400de0	_PROCEDURE_LINKAGE_TABLE_	00400de0	00400dff
00400e00	printf	00400e00	00400e0f
00400e10	shmget	00400e10	00400e1f
00400e20	sleep	00400e20	00400e2f
00400e30	wait	00400e30	00400e3f
00400e40	shmat	00400e40	00400e4f
00400e50	perror	00400e50	00400e5f
00400e60	waitpid	00400e60	00400e6f
00400e70	shmctl	00400e70	00400e7f
00400e80	puts	00400e80	00400e8f
00400e90	system	00400e90	00400e9f
00400ea0	__libc_start_main	00400ea0	00400eaf
00400eb0	memset	00400eb0	00400ebf
00400ec0	execl	00400ec0	00400ecf
00400ed0	shmdt	00400ed0	00400edf
00400ee0	fork	00400ee0	00400eef
00411000	printf	00411000	00411000
00411004	shmget	00411004	00411004
00411008	sleep	00411008	00411008
0041100c	wait	0041100c	0041100c
00411010	shmat	00411010	00411010
00411014	perror	00411014	00411014
00411018	waitpid	00411018	00411018
0041101c	shmctl	0041101c	0041101c
00411020	puts	00411020	00411020
00411024	system	00411024	00411024
00411028	__libc_start_main	00411028	00411028
0041102c	memset	0041102c	0041102c
00411030	execl	00411030	00411030
00411034	shmdt	00411034	00411034
00411038	fork	00411038	00411038
0041103c	__gmon_start__	0041103c	0041103c
