address	type	name
EXTERNAL:00000001	Function	<EXTERNAL>::printf
EXTERNAL:00000002	Function	<EXTERNAL>::shmget
EXTERNAL:00000003	Function	<EXTERNAL>::sleep
EXTERNAL:00000004	Function	<EXTERNAL>::wait
EXTERNAL:00000005	Function	<EXTERNAL>::shmat
EXTERNAL:00000006	Function	<EXTERNAL>::perror
EXTERNAL:00000007	Function	<EXTERNAL>::waitpid
EXTERNAL:00000008	Function	<EXTERNAL>::shmctl
EXTERNAL:00000009	Function	<EXTERNAL>::puts
EXTERNAL:0000000a	Function	<EXTERNAL>::system
EXTERNAL:0000000b	Function	<EXTERNAL>::__libc_start_main
EXTERNAL:0000000c	Function	<EXTERNAL>::memset
EXTERNAL:0000000d	Function	<EXTERNAL>::execl
EXTERNAL:0000000e	Function	<EXTERNAL>::shmdt
EXTERNAL:0000000f	Function	<EXTERNAL>::fork
EXTERNAL:00000010	Function	<EXTERNAL>::__gmon_start__
00400000	Label	__DT_MIPS_BASE_ADDRESS
00400034	Label	Elf32_Phdr_ARRAY_00400034
00400154	Label	s_/lib/ld.so.1_00400154
00400164	Label	NoteAbiTag_00400164
00400188	Label	DAT_00400188
004001a0	Label	Elf32_RegInfo_MIPS_004001a0
004001b8	Label	_DYNAMIC
004002b8	Label	__DT_HASH
00400358	Label	__DT_SYMTAB
004004a8	Label	__DT_STRTAB
00400572	Label	__DT_VERSYM
0040059c	Label	__DT_VERNEED
004005cc	Label	__DT_JMPREL
00400644	Label	__DT_INIT
00400644	Function	_init
00400674	Label	LAB_00400674
0040067c	Label	LAB_0040067c
00400694	Label	LAB_00400694
004006b0	Function	main
004006b0	Label	_ftext
00400754	Label	LAB_00400754
00400770	Label	LAB_00400770
00400778	Label	LAB_00400778
00400794	Label	LAB_00400794
004007b8	Label	LAB_004007b8
004007c8	Label	LAB_004007c8
004007fc	Label	LAB_004007fc
0040080c	Label	LAB_0040080c
00400820	Function	__start
00400868	Label	hlt
00400870	Function	deregister_tm_clones
004008a4	Label	LAB_004008a4
004008ac	Function	register_tm_clones
004008ec	Label	LAB_004008ec
004008f4	Function	__do_global_dtors_aux
00400950	Label	LAB_00400950
00400978	Label	LAB_00400978
00400988	Label	LAB_00400988
004009a4	Function	frame_dummy
004009b8	Label	LAB_004009b8
004009c0	Label	LAB_004009c0
004009f0	Function	ShareMemCreat
00400a54	Label	LAB_00400a54
00400a74	Label	LAB_00400a74
00400a94	Function	ShareMemClose
00400adc	Label	LAB_00400adc
00400af0	Label	LAB_00400af0
00400b08	Label	LAB_00400b08
00400b1c	Function	get_old_file_time
00400b30	Function	wait4children
00400b4c	Function	read_childproc
00400b98	Label	LAB_00400b98
00400ba0	Function	__libc_csu_init
00400c00	Label	LAB_00400c00
00400c20	Label	LAB_00400c20
00400c44	Function	__libc_csu_fini
00400c50	Function	__do_global_ctors_aux
00400c7c	Label	LAB_00400c7c
00400c9c	Label	LAB_00400c9c
00400cb0	Label	__DT_FINI
00400cb0	Function	_fini
00400cd0	Label	LAB_00400cd0
00400cec	Label	_IO_stdin_used
00400cf0	Label	s_shmget_failed_00400cf0
00400d00	Label	s_shmat_failed_00400d00
00400d10	Label	s_Memory_attached_at_%X_00400d10
00400d28	Label	s_shmdt_failed_00400d28
00400d38	Label	s_shmctl(IPC_RMID)_failed_00400d38
00400d50	Label	s_Removed_proc_id:_%d_00400d50
00400d68	Label	s_Child_send:_%d_00400d68
00400d7c	Label	s_icube_v1.3_00400d7c
00400d88	Label	s_fork_error!_00400d88
