address	type	name
EXTERNAL:00000001	Function	<EXTERNAL>::_dl_find_dso_for_object
EXTERNAL:00000002	Function	<EXTERNAL>::__tls_get_addr
00000000	Label	GLIBC_PRIVATE
00000000	Label	GCC_3.0
00000000	Label	GLIBC_2.8
00000000	Label	GLIBC_2.3
00000000	Label	GLIBC_2.0
00000000	Label	GLIBC_2.2
00000000	Label	GLIBC_2.5
00000000	Label	GLIBC_2.4
00000000	Label	GLIBC_2.9
00000000	Label	GLIBC_2.7
00000000	Label	GLIBC_2.6
00000000	Label	GLIBC_2.3.2
00000000	Label	GLIBC_2.3.4
00000000	Label	GLIBC_2.19
00000000	Label	GLIBC_2.3.3
00000000	Label	GLIBC_2.18
00000000	Label	GLIBC_2.15
00000000	Label	GLIBC_2.14
00000000	Label	GLIBC_2.11
00000000	Label	GLIBC_2.16
00000000	Label	GLIBC_2.10
00000000	Label	GLIBC_2.17
00000000	Label	GLIBC_2.2.1
00000000	Label	GLIBC_2.12
00000000	Label	GLIBC_2.13
00000000	Label	GLIBC_2.2.3
00000000	Label	GLIBC_2.2.2
00000000	Label	GLIBC_2.2.4
00000000	Label	GLIBC_2.2.6
00000005	Label	DAT_00000005
00000009	Label	DAT_00000009
0000000b	Label	DAT_0000000b
0000000d	Label	DAT_0000000d
00000011	Label	DAT_00000011
00000019	Label	DAT_00000019
0000001d	Label	DAT_0000001d
00000021	Label	DAT_00000021
00000025	Label	DAT_00000025
00000029	Label	DAT_00000029
00000045	Label	DAT_00000045
00000050	Label	DAT_00000050
00000068	Label	DAT_00000068
0000006c	Label	DAT_0000006c
0000007f	Label	DAT_0000007f
00000081	Label	DAT_00000081
00000110	Label	DAT_00000110
00000210	Label	DAT_00000210
0000022e	Label	SUB_0000022e
00000579	Label	DAT_00000579
000005ab	Label	DAT_000005ab
00002f64	Label	DAT_00002f64
00002f68	Label	DAT_00002f68
00002f6c	Label	DAT_00002f6c
00010000	Label	Elf32_Ehdr_00010000
00010034	Label	Elf32_Phdr_ARRAY_00010034
00010080	Label	Elf32_Phdr_ARRAY_00010034[2].p_paddr
000101b8	Label	DAT_000101b8
000101d0	Label	Elf32_RegInfo_MIPS_000101d0
000101e8	Label	_DYNAMIC
000102f8	Label	NoteAbiTag_000102f8
00010318	Label	__DT_HASH
00013730	Label	__DT_SYMTAB
00015f8f	Label	__DT_SYMTAB[645].st_shndx+1
000186a0	Label	__DT_SYMTAB[1271].st_name
000186bd	Label	__DT_SYMTAB[1272].st_other
0001c780	Label	__DT_STRTAB
0001fff8	Label	s_nlocked_0001fff8
00020000	Label	s_ether_ntoa_00020000
00020007	Label	s_toa_00020007
00020008	Label	s_oa_00020008
0002000e	Label	s_vec_0002000e
00020301	Label	s_optopt_00020301
0002221c	Label	__DT_VERSYM
00023428	Label	__DT_VERDEF
00023848	Label	__DT_VERNEED
00023878	Label	__DT_REL
00028690	Function	FUN_00028690
000286b4	Label	LAB_000286b4
000286fc	Label	LAB_000286fc
00028704	Label	LAB_00028704
0002870c	Function	FUN_0002870c
000287b0	Label	LAB_000287b0
000287e0	Label	LAB_000287e0
0002880c	Label	LAB_0002880c
00028810	Label	LAB_00028810
00028830	Label	LAB_00028830
00028840	Label	LAB_00028840
00028844	Label	LAB_00028844
0002884c	Label	LAB_0002884c
00028850	Label	LAB_00028850
00028880	Function	FUN_00028880
00028950	Label	LAB_00028950
