entry	name	body_start	body_end
00013480	_init	00013480	00013503
00013510	_GLOBAL__sub_I_libretro.cpp	00013510	0001354b
00013550	deregister_tm_clones	00013550	00013593
00013594	register_tm_clones	00013594	000135df
000135e0	__do_global_dtors_aux	000135e0	000136c3
000136c4	frame_dummy	000136c4	0001371b
00013720	~apu	00013720	00013727
00013728	read	00013728	00013803
00013804	update	00013804	0001380b
0001380c	get_stat	0001380c	00013817
00013818	get_stat_cpy	00013818	00013823
00013824	get_mem	00013824	00013837
00013838	apu_snd	00013838	0001387b
0001387c	~apu_snd	0001387c	00013883
00013884	reset	00013884	00013ab3
00013ab4	reset	00013ab4	00013acb
00013acc	apu	00013acc	00013b3f
00013b64	set_enable	00013b64	00013b77
00013b78	get_enable	00013b78	00013b8b
00013b8c	process	00013b8c	00014087
00014088	update	00014088	0001434b
0001434c	write	0001434c	0001450f
00014510	render	00014510	00015287
00015288	serialize	00015288	000159fb
00015a60	serialize	00015a60	00015a77
00015a80	~cheat	00015a80	00015adb
00015adc	find_cheat	00015adc	00015b63
00015b64	create_unique_name	00015b64	00015c33
00015c34	create_cheat_map	00015c34	00015d2f
00015d30	cheat	00015d30	00015d8f
00015dc8	clear	00015dc8	00015e37
00015e38	delete_cheat	00015e38	00015edf
00015ee0	add_cheat	00015ee0	00015fd3
00015fd4	cheat_read	00015fd4	0001625f
00016260	cheat_write	00016260	00016267
00016268	save	00016268	0001634b
0001634c	load	0001634c	0001673f
00016740	~cpu	00016740	00016747
00016748	reset	00016748	000168db
000168dc	cpu	000168dc	0001699b
0001699c	save_state	0001699c	00016a1b
00016a1c	save_state_ex	00016a1c	00016a47
00016a48	restore_state	00016a48	00016abb
00016abc	restore_state_ex	00016abc	00016ae7
00016ae8	read_direct	00016ae8	00016b27
000171d0	write	000171d0	0001733b
0001733c	irq	0001733c	00017377
00017378	seri_send	00017378	000173e3
000173e4	exec	000173e4	00022af7
00022af8	serialize	00022af8	00024cc3
00024cd0	read	00024cd0	00024d0b
00024d0c	io_write	00024d0c	00025837
00025840	~gb	00025840	00025953
00025954	reset	00025954	00025b27
