address	type	name
EXTERNAL:00000001	Function	<EXTERNAL>::__gmon_start__
EXTERNAL:00000002	Function	<EXTERNAL>::__cxa_finalize
EXTERNAL:00000003	Function	<EXTERNAL>::__cxa_guard_acquire
EXTERNAL:00000004	Function	<EXTERNAL>::close
EXTERNAL:00000005	Function	<EXTERNAL>::_Unwind_Resume
EXTERNAL:00000006	Function	<EXTERNAL>::std::__detail::_List_node_base::_M_hook
EXTERNAL:00000007	Function	<EXTERNAL>::sprintf
EXTERNAL:00000008	Function	<EXTERNAL>::fputc
EXTERNAL:00000009	Function	<EXTERNAL>::toupper
EXTERNAL:0000000a	Function	<EXTERNAL>::munmap
EXTERNAL:0000000b	Function	<EXTERNAL>::isalpha
EXTERNAL:0000000c	Function	<EXTERNAL>::memset
EXTERNAL:0000000d	Function	<EXTERNAL>::write
EXTERNAL:0000000e	Function	<EXTERNAL>::fprintf
EXTERNAL:0000000f	Function	<EXTERNAL>::strlen
EXTERNAL:00000010	Function	<EXTERNAL>::mmap
EXTERNAL:00000011	Function	<EXTERNAL>::feof
EXTERNAL:00000012	Function	<EXTERNAL>::std::__detail::_List_node_base::_M_unhook
EXTERNAL:00000013	Function	<EXTERNAL>::open
EXTERNAL:00000014	Function	<EXTERNAL>::puts
EXTERNAL:00000015	Function	<EXTERNAL>::malloc
EXTERNAL:00000016	Function	<EXTERNAL>::strcpy
EXTERNAL:00000017	Function	<EXTERNAL>::fread
EXTERNAL:00000018	Function	<EXTERNAL>::usleep
EXTERNAL:00000019	Function	<EXTERNAL>::fwrite
EXTERNAL:0000001a	Function	<EXTERNAL>::perror
EXTERNAL:0000001b	Function	<EXTERNAL>::operator.new
EXTERNAL:0000001c	Function	<EXTERNAL>::__cxa_guard_release
EXTERNAL:0000001d	Function	<EXTERNAL>::memcmp
EXTERNAL:0000001e	Function	<EXTERNAL>::time
EXTERNAL:0000001f	Function	<EXTERNAL>::fgets
EXTERNAL:00000020	Function	<EXTERNAL>::memcpy
EXTERNAL:00000021	Function	<EXTERNAL>::free
EXTERNAL:00000022	Function	<EXTERNAL>::operator.delete
EXTERNAL:00000023	Function	<EXTERNAL>::strcmp
EXTERNAL:00000024	Function	<EXTERNAL>::_ITM_deregisterTMCloneTable
EXTERNAL:00000025	Function	<EXTERNAL>::_ITM_registerTMCloneTable
EXTERNAL:00000026	Function	<EXTERNAL>::_Jv_RegisterClasses
00000148	Label	_DYNAMIC
00010000	Label	Elf32_Ehdr_00010000
00010034	Label	Elf32_Phdr_ARRAY_00010034
00010118	Label	DAT_00010118
00010130	Label	Elf32_RegInfo_MIPS_00010130
00010148	Label	_DYNAMIC
00010250	Label	__DT_HASH
00010950	Label	__DT_SYMTAB
000118e0	Label	__DT_STRTAB
00012ba6	Label	__DT_VERSYM
00012d98	Label	__DT_VERNEED
00012de8	Label	__DT_REL
00013480	Label	__DT_INIT
00013480	Function	_init
000134b0	Label	LAB_000134b0
000134b8	Label	LAB_000134b8
000134dc	Label	LAB_000134dc
00013510	Label	_ftext
00013510	Function	_GLOBAL__sub_I_libretro.cpp
00013550	Function	deregister_tm_clones
0001358c	Label	LAB_0001358c
00013594	Function	register_tm_clones
000135d8	Label	LAB_000135d8
000135e0	Function	__do_global_dtors_aux
00013630	Label	LAB_00013630
00013664	Label	LAB_00013664
00013694	Label	LAB_00013694
000136a8	Label	LAB_000136a8
000136c4	Function	frame_dummy
000136ec	Label	LAB_000136ec
00013700	Label	LAB_00013700
00013720	Function	apu::~apu
00013720	Label	_ZN3apuD1Ev
00013720	Label	_ZN3apuD2Ev
00013728	Function	apu::read
00013728	Label	_ZN3apu4readEt
0001374c	Label	LAB_0001374c
