entry	name	body_start	body_end
0040682c	_init	0040682c	00406897
004068a0	_ftext	004068a0	004068ab
004068b0	FUN_004068b0	004068b0	004068bb
004068c0	FUN_004068c0	004068c0	004068cb
004068e0	FUN_004068e0	004068e0	004068eb
004068f0	FUN_004068f0	004068f0	004068fb
00406900	FUN_00406900	00406900	0040690b
00406910	FUN_00406910	00406910	0040691b
00406920	FUN_00406920	00406920	0040692b
00406930	FUN_00406930	00406930	0040693b
00406940	FUN_00406940	00406940	00406967
00406968	FUN_00406968	00406968	0040698f
00406990	FUN_00406990	00406990	004069b3
004069b4	_FINI_0	004069b4	00406a27
00406a28	FUN_00406a28	00406a28	00406d4f
00406d50	entry	00406d50	00406d9f
00406da0	FUN_00406da0	00406da0	00406ddb
00406ddc	FUN_00406ddc	00406ddc	00406e23
00406e24	FUN_00406e24	00406e24	00406ed3
00406ed4	FUN_00406ed4	00406ed4	00406f17
00406f20	RARCH_LOG_V	00406f20	00406fbb
00406fbc	RARCH_LOG	00406fbc	00406fff
00407000	GetConfig	00407000	004077ab
004077ac	get_executable_path	004077ac	0040786b
0040786c	dispmeninfo	0040786c	004079ab
004079ac	outputxy1	004079ac	00407b77
00407b78	spi_printf	00407b78	00407c03
00407c04	ShareMemCreat	00407c04	00407cc3
00407d30	FUN_00407d30	00407d30	00407e13
00407e14	FUN_00407e14	00407e14	00407e6b
00407e6c	FUN_00407e6c	00407e6c	00407ed7
00407ed8	FUN_00407ed8	00407ed8	00407fff
00408000	FUN_00408000	00408000	004082a7
004082a8	FUN_004082a8	004082a8	004086db
004086dc	FUN_004086dc	004086dc	004088e7
004088e8	FUN_004088e8	004088e8	00408a1b
00408a1c	FUN_00408a1c	00408a1c	00408b5f
00408b60	FUN_00408b60	00408b60	00408dd7
00408dd8	FUN_00408dd8	00408dd8	0040905f
00409060	FUN_00409060	00409060	0040910b
0040910c	FUN_0040910c	0040910c	004091a7
004091a8	FUN_004091a8	004091a8	0040920b
0040920c	spi_driver_init	0040920c	00409603
00409604	sfc_init	00409604	0040960b
0040960c	sfc_uninit	0040960c	00409613
00409614	FUN_00409614	00409614	0040972f
00409730	upgrade_detect	00409730	004097c7
004097c8	UpdateROM	004097c8	00409817
00409818	xintiao	00409818	0040987b
0040987c	XintiaoThread	0040987c	004098f3
004098f4	TestUSBJoy	004098f4	00409c83
00409c84	myStrrstr	00409c84	00409d93
00409da0	pinmux_init	00409da0	00409e0f
00409e10	pinmux_deinit	00409e10	00409e3f
00409e40	pinmux_configure	00409e40	00409f27
00409f30	gpio_init	00409f30	0040a02f
0040a030	gpio_deinit	0040a030	0040a07f
0040a080	FUN_0040a080	0040a080	0040a0cb
0040a0cc	gpio_set_output	0040a0cc	0040a137
0040a138	gpio_get_input	0040a138	0040a17f
0040a180	gpio_configure	0040a180	0040a27b
0040a27c	gpio_get_configure	0040a27c	0040a2cb
0040a2d0	FUN_0040a2d0	0040a2d0	0040a3a3
0040a3a4	sunxi_gpio_set_cfgpin	0040a3a4	0040a3f3
0040a3f4	FUN_0040a3f4	0040a3f4	0040a427
0040a428	sunxi_gpio_output	0040a428	0040a477
0040a478	sunxi_gpio_input	0040a478	0040a4ab
0040a4b4	OS_Delay	0040a4b4	0040a537
0040a538	FUN_0040a538	0040a538	0040ac3f
0040ac40	FUN_0040ac40	0040ac40	0040ace7
0040ace8	FUN_0040ace8	0040ace8	0040aef3
0040aef4	ReadJoystickProc	0040aef4	0040af97
0040af98	processvblank	0040af98	0040af9f
0040afa0	FUN_0040afa0	0040afa0	0040b04b
0040b084	InitJoystick	0040b084	0040b0bb
0040b0bc	FUN_0040b0bc	0040b0bc	0040b0e7
0040b0f8	ReadJoystick	0040b0f8	0040b213
0040b230	FUN_0040b230	0040b230	0040b2af
0040b2b0	PCSXSetColorMode	0040b2b0	0040b303
0040b304	InitDisplay	0040b304	0040b66b
0040b66c	dispFlip	0040b66c	0040b697
0040b698	video_driver_set_rotation	0040b698	0040b6ff
0040b700	video_driver_set_colormode	0040b700	0040b75f
0040b760	DeinitDisplay	0040b760	0040b7a7
0040b7a8	InitSound	0040b7a8	0040b8d7
0040b8d8	DeinitSound	0040b8d8	0040b8f7
0040b8f8	PlaySound	0040b8f8	0040b923
0040b924	StopSound	0040b924	0040b92b
0040b92c	FUN_0040b92c	0040b92c	0040b957
0040b958	exit_game	0040b958	0040b977
0040b978	enter_multios_app	0040b978	0040ba33
0040ba40	FUN_0040ba40	0040ba40	0040bbd7
0040bbd8	FUN_0040bbd8	0040bbd8	0040bbef
0040bbf0	FUN_0040bbf0	0040bbf0	0040bc0b
0040bc0c	inflate_flush	0040bc0c	0040be23
0040be24	inflate_codes_new	0040be24	0040be9b
0040be9c	inflate_codes	0040be9c	0040ca7f
0040ca80	inflate_codes_free	0040ca80	0040ca93
0040ca94	inflate_blocks_reset	0040ca94	0040cb63
0040cb64	inflate_blocks_new	0040cb64	0040cc7b
0040cc7c	inflate_blocks_free	0040cc7c	0040ccf7
0040ccf8	FUN_0040ccf8	0040ccf8	0040cd7f
0040cd80	FUN_0040cd80	0040cd80	0040ce53
0040ce54	huft_build	0040ce54	0040d43f
0040d440	inflate_trees_bits	0040d440	0040d563
0040d564	inflate_trees_dynamic	0040d564	0040d76f
0040d770	inflate_trees_fixed	0040d770	0040d7a3
0040d7a4	inflate_blocks	0040d7a4	0040e263
0040e264	inflateInit2	0040e264	0040e3a3
0040e3a4	lufopen	0040e3a4	0040e4ef
0040e4f0	lufclose	0040e4f0	0040e55b
0040e55c	luferror	0040e55c	0040e57b
0040e57c	luftell	0040e57c	0040e5e7
0040e5e8	lufseek	0040e5e8	0040e6c3
0040e6c4	lufread	0040e6c4	0040e7af
0040e7b0	FUN_0040e7b0	0040e7b0	0040f033
0040f034	unzlocal_getByte	0040f034	0040f0c7
0040f0c8	unzlocal_getShort	0040f0c8	0040f167
0040f168	unzlocal_getLong	0040f168	0040f273
0040f274	strcmpcasenosensitive_internal	0040f274	0040f307
0040f308	unzlocal_SearchCentralDir	0040f308	0040f56f
0040f570	unzlocal_DosDateToTmuDate	0040f570	0040f5af
0040f5b0	unzlocal_GetCurrentFileInfoInternal	0040f5b0	0040faeb
0040faec	FUN_0040faec	0040faec	0040fb67
0040fb68	unzOpenInternal	0040fb68	0040fdeb
0040fdec	FUN_0040fdec	0040fdec	0040fea3
0040fea4	FUN_0040fea4	0040fea4	0041005f
00410060	unzlocal_CheckCurrentFileCoherencyHeader	00410060	004103e7
004103e8	FUN_004103e8	004103e8	00410573
00410574	timet2filetime	00410574	00410583
00410584	FUN_00410584	00410584	00410ac3
00410ac4	Open	00410ac4	00410b3b
00410b3c	Get	00410b3c	00410beb
00410bec	FUN_00410bec	00410bec	00410f8b
00410f8c	Find	00410f8c	004110d3
004110d4	Unzip	004110d4	00411107
00411108	Close	00411108	004111bb
004111bc	FUN_004111bc	004111bc	004114b3
004114b4	OpenZipU	004114b4	004115d7
004115d8	GetZipItemA	004115d8	004116cf
004116dc	FUN_004116dc	004116dc	00411833
00411834	FindZipItemA	00411834	00411943
00411950	FUN_00411950	00411950	00411ac7
00411ac8	UnzipItem	00411ac8	00411bd7
00411bd8	CloseZipU	00411bd8	00411cd3
00411d00	WaitNMI	00411d00	00411da7
00411da8	FUN_00411da8	00411da8	00411e73
00411e74	blockcopy_8888	00411e74	00411f3f
00411f40	ReadJoystickC	00411f40	00411fb3
00411fb4	cube_set_backlight_brightness	00411fb4	00412027
00412028	cube_get_backlight_brightness	00412028	004120e3
004120e4	cube_set_volume	004120e4	00412107
00412108	cube_get_volume	00412108	0041214b
0041214c	FUN_0041214c	0041214c	0041216f
00412170	InitScr	00412170	004121f3
004121f4	FUN_004121f4	004121f4	004122eb
004122ec	Letterbitmap	004122ec	00412447
00412448	GetFileFormZip	00412448	00412567
00412568	BgFadeIn	00412568	00412643
00412644	LoadFileToBuffer	00412644	0041275f
00412760	DrawIcon	00412760	0041286b
