address	type	name
EXTERNAL:00000001	Function	<EXTERNAL>::open
EXTERNAL:00000002	Function	<EXTERNAL>::getrusage
EXTERNAL:00000003	Function	<EXTERNAL>::fread
EXTERNAL:00000004	Function	<EXTERNAL>::SDL_Quit
EXTERNAL:00000005	Function	<EXTERNAL>::fileno
EXTERNAL:00000006	Function	<EXTERNAL>::__ctype_toupper_loc
EXTERNAL:00000007	Function	<EXTERNAL>::fseeko
EXTERNAL:00000008	Function	<EXTERNAL>::sscanf
EXTERNAL:00000009	Function	<EXTERNAL>::access
EXTERNAL:0000000a	Function	<EXTERNAL>::strstr
EXTERNAL:0000000b	Function	<EXTERNAL>::fopen
EXTERNAL:0000000c	Function	<EXTERNAL>::gzseek
EXTERNAL:0000000d	Function	<EXTERNAL>::strncasecmp
EXTERNAL:0000000e	Function	<EXTERNAL>::uncompress
EXTERNAL:0000000f	Function	<EXTERNAL>::sysconf
EXTERNAL:00000010	Function	<EXTERNAL>::SDL_JoystickOpen
EXTERNAL:00000011	Function	<EXTERNAL>::__fxstat
EXTERNAL:00000012	Function	<EXTERNAL>::fgets
EXTERNAL:00000013	Function	<EXTERNAL>::fwrite
EXTERNAL:00000014	Function	<EXTERNAL>::memcpy
EXTERNAL:00000015	Function	<EXTERNAL>::strlen
EXTERNAL:00000016	Function	<EXTERNAL>::munmap
EXTERNAL:00000017	Function	<EXTERNAL>::usleep
EXTERNAL:00000018	Function	<EXTERNAL>::fprintf
EXTERNAL:00000019	Function	<EXTERNAL>::readdir
EXTERNAL:0000001a	Function	<EXTERNAL>::sprintf
EXTERNAL:0000001b	Function	<EXTERNAL>::__xstat
EXTERNAL:0000001c	Function	<EXTERNAL>::SDL_Delay
EXTERNAL:0000001d	Function	<EXTERNAL>::strcmp
EXTERNAL:0000001e	Function	<EXTERNAL>::time
EXTERNAL:0000001f	Function	<EXTERNAL>::fsync
EXTERNAL:00000020	Function	<EXTERNAL>::__errno_location
EXTERNAL:00000021	Function	<EXTERNAL>::inflate
EXTERNAL:00000022	Function	<EXTERNAL>::fclose
EXTERNAL:00000023	Function	<EXTERNAL>::strncpy
EXTERNAL:00000024	Function	<EXTERNAL>::fflush
EXTERNAL:00000025	Function	<EXTERNAL>::dup
EXTERNAL:00000026	Function	<EXTERNAL>::memcmp
EXTERNAL:00000027	Function	<EXTERNAL>::strrchr
EXTERNAL:00000028	Function	<EXTERNAL>::inflateInit2_
EXTERNAL:00000029	Function	<EXTERNAL>::fseek
EXTERNAL:0000002a	Function	<EXTERNAL>::SDL_JoystickEventState
EXTERNAL:0000002b	Function	<EXTERNAL>::SDL_InitSubSystem
EXTERNAL:0000002c	Function	<EXTERNAL>::strchr
EXTERNAL:0000002d	Function	<EXTERNAL>::__libc_start_main
EXTERNAL:0000002e	Function	<EXTERNAL>::ftruncate
EXTERNAL:0000002f	Function	<EXTERNAL>::gettimeofday
EXTERNAL:00000030	Function	<EXTERNAL>::_IO_getc
EXTERNAL:00000031	Function	<EXTERNAL>::__ctype_b_loc
EXTERNAL:00000032	Function	<EXTERNAL>::strtol
EXTERNAL:00000033	Function	<EXTERNAL>::pthread_create
EXTERNAL:00000034	Function	<EXTERNAL>::strncmp
EXTERNAL:00000035	Function	<EXTERNAL>::ctime_r
EXTERNAL:00000036	Function	<EXTERNAL>::shm_unlink
EXTERNAL:00000037	Function	<EXTERNAL>::pthread_exit
EXTERNAL:00000038	Function	<EXTERNAL>::strcasecmp
EXTERNAL:00000039	Function	<EXTERNAL>::fgetc
EXTERNAL:0000003a	Function	<EXTERNAL>::opendir
EXTERNAL:0000003b	Function	<EXTERNAL>::pthread_join
EXTERNAL:0000003c	Function	<EXTERNAL>::inflateReset
EXTERNAL:0000003d	Function	<EXTERNAL>::closedir
EXTERNAL:0000003e	Function	<EXTERNAL>::exit
EXTERNAL:0000003f	Function	<EXTERNAL>::printf
EXTERNAL:00000040	Function	<EXTERNAL>::gzwrite
EXTERNAL:00000041	Function	<EXTERNAL>::strerror
EXTERNAL:00000042	Function	<EXTERNAL>::strtok
EXTERNAL:00000043	Function	<EXTERNAL>::puts
EXTERNAL:00000044	Function	<EXTERNAL>::perror
EXTERNAL:00000045	Function	<EXTERNAL>::memset
EXTERNAL:00000046	Function	<EXTERNAL>::putchar
EXTERNAL:00000047	Function	<EXTERNAL>::ftello
EXTERNAL:00000048	Function	<EXTERNAL>::gzclose
EXTERNAL:00000049	Function	<EXTERNAL>::snprintf
EXTERNAL:0000004a	Function	<EXTERNAL>::close
EXTERNAL:0000004b	Function	<EXTERNAL>::abort
EXTERNAL:0000004c	Function	<EXTERNAL>::gzdopen
EXTERNAL:0000004d	Function	<EXTERNAL>::memmove
EXTERNAL:0000004e	Function	<EXTERNAL>::shm_open
EXTERNAL:0000004f	Function	<EXTERNAL>::gzread
EXTERNAL:00000050	Function	<EXTERNAL>::strcpy
EXTERNAL:00000051	Function	<EXTERNAL>::mmap
EXTERNAL:00000052	Function	<EXTERNAL>::__assert_fail
EXTERNAL:00000053	Function	<EXTERNAL>::ftell
EXTERNAL:00000054	Function	<EXTERNAL>::__gmon_start__
EXTERNAL:00000055	Function	<EXTERNAL>::alphasort
EXTERNAL:00000056	Function	<EXTERNAL>::longjmp
EXTERNAL:00000057	Function	<EXTERNAL>::realloc
EXTERNAL:00000058	Function	<EXTERNAL>::png_get_image_height
EXTERNAL:00000059	Function	<EXTERNAL>::strtod
EXTERNAL:0000005a	Function	<EXTERNAL>::system
EXTERNAL:0000005b	Function	<EXTERNAL>::png_init_io
EXTERNAL:0000005c	Function	<EXTERNAL>::ioctl
EXTERNAL:0000005d	Function	<EXTERNAL>::__isoc99_fscanf
EXTERNAL:0000005e	Function	<EXTERNAL>::png_read_png
EXTERNAL:0000005f	Function	<EXTERNAL>::pthread_once
EXTERNAL:00000060	Function	<EXTERNAL>::FT_New_Face
EXTERNAL:00000061	Function	<EXTERNAL>::vfprintf
EXTERNAL:00000062	Function	<EXTERNAL>::png_create_info_struct
EXTERNAL:00000063	Function	<EXTERNAL>::shmget
EXTERNAL:00000064	Function	<EXTERNAL>::read
EXTERNAL:00000065	Function	<EXTERNAL>::__strdup
EXTERNAL:00000066	Function	<EXTERNAL>::remove
EXTERNAL:00000067	Function	<EXTERNAL>::pthread_self
EXTERNAL:00000068	Function	<EXTERNAL>::png_malloc
EXTERNAL:00000069	Function	<EXTERNAL>::png_set_IHDR
EXTERNAL:0000006a	Function	<EXTERNAL>::hcfota_url
EXTERNAL:0000006b	Function	<EXTERNAL>::_IO_putc
EXTERNAL:0000006c	Function	<EXTERNAL>::readlink
EXTERNAL:0000006d	Function	<EXTERNAL>::stpcpy
EXTERNAL:0000006e	Function	<EXTERNAL>::dlclose
EXTERNAL:0000006f	Function	<EXTERNAL>::png_get_color_type
EXTERNAL:00000070	Function	<EXTERNAL>::pthread_key_delete
EXTERNAL:00000071	Function	<EXTERNAL>::free
EXTERNAL:00000072	Function	<EXTERNAL>::pthread_mutex_lock
EXTERNAL:00000073	Function	<EXTERNAL>::dlerror
EXTERNAL:00000074	Function	<EXTERNAL>::png_set_longjmp_fn
EXTERNAL:00000075	Function	<EXTERNAL>::png_write_end
