entry	name	body_start	body_end
140001010	__security_check_cookie	140001010	14000102d
140001040	__report_gsfailure	140001040	140001187
140001190	__security_init_cookie	140001190	1400011d2
1400011dc	FUN_1400011dc	1400011dc	140001239
140001240	NtTerminateProcess	140001240	140001245
14000124c	RtlCaptureContext	14000124c	140001251
140001258	RtlLookupFunctionEntry	140001258	14000125d
140001264	RtlVirtualUnwind	140001264	140001269
140001270	RtlUnhandledExceptionFilter	140001270	140001275
140001280	FUN_140001280	140001280	140001352
140001360	FUN_140001360	140001360	1400013a8
1400013b0	FUN_1400013b0	1400013b0	140001581
140001590	entry	140001590	1400015a1
1400015c0	FUN_1400015c0	1400015c0	1400015f8
140001610	FUN_140001610	140001610	140001627
14000162e	_XcptFilter	14000162e	140001633
14000163c	FUN_14000163c	14000163c	14000168f
140001698	FUN_140001698	140001698	1400016dd
1400016e4	_amsg_exit	1400016e4	1400016e9
1400016f0	FUN_1400016f0	1400016f0	1400016f2
140001700	_FindPESection	140001700	140001743
140001750	_IsNonwritableInCurrentImage	140001750	14000179c
1400017b0	FUN_1400017b0	1400017b0	1400017da
1400017f0	FUN_1400017f0	1400017f0	1400017f2
1400017f9	_initterm	1400017f9	1400017fe
140001810	_guard_check_icall	140001810	140001812
140001828	FUN_140001828	140001828	14000184f
140001860	FUN_140001860	140001860	1400018e9
1400018f8	FUN_1400018f8	1400018f8	1400047c8
1400047d0	FUN_1400047d0	1400047d0	140004855
140004868	__GSHandlerCheckCommon	140004868	1400048c2
1400048e0	_guard_dispatch_icall	1400048e0	1400048e1
140004900	_guard_dispatch_icall	140004900	140004905
140004920	FUN_140004920	140004920	14000496c
140004973	FUN_140004973	140004973	14000498f
1400049a0	FUN_1400049a0	1400049a0	1400049be
