address	type	name
EXTERNAL:00000001	Function	API-MS-WIN-CORE-CONSOLE-L1-1-0.DLL::SetConsoleCtrlHandler
EXTERNAL:00000002	Function	API-MS-WIN-EVENTLOG-LEGACY-L1-1-0.DLL::ReportEventW
EXTERNAL:00000003	Function	API-MS-WIN-EVENTLOG-LEGACY-L1-1-0.DLL::DeregisterEventSource
EXTERNAL:00000004	Function	API-MS-WIN-EVENTLOG-LEGACY-L1-1-0.DLL::RegisterEventSourceW
EXTERNAL:00000005	Function	NTDLL.DLL::NtTerminateProcess
EXTERNAL:00000006	Function	NTDLL.DLL::RtlUnhandledExceptionFilter
EXTERNAL:00000007	Function	API-MS-WIN-CORE-ERRORHANDLING-L1-1-0.DLL::SetErrorMode
EXTERNAL:00000008	Function	API-MS-WIN-CORE-ERRORHANDLING-L1-1-0.DLL::SetUnhandledExceptionFilter
EXTERNAL:00000009	Function	API-MS-WIN-CORE-ERRORHANDLING-L1-1-0.DLL::GetLastError
EXTERNAL:0000000a	Function	API-MS-WIN-CORE-HEAP-L1-1-0.DLL::HeapSetInformation
EXTERNAL:0000000b	Function	API-MS-WIN-CORE-PROCESSTHREADS-L1-1-0.DLL::ExitProcess
EXTERNAL:0000000c	Function	API-MS-WIN-CORE-RTLSUPPORT-L1-1-0.DLL::RtlVirtualUnwind
EXTERNAL:0000000d	Function	API-MS-WIN-CORE-RTLSUPPORT-L1-1-0.DLL::RtlCaptureContext
EXTERNAL:0000000e	Function	API-MS-WIN-CORE-RTLSUPPORT-L1-1-0.DLL::RtlLookupFunctionEntry
EXTERNAL:0000000f	Function	ULIB.DLL::PATH::IsGuidVolName
EXTERNAL:00000010	Function	ULIB.DLL::PATH::AppendString
EXTERNAL:00000011	Function	ULIB.DLL::PATH::IsDrive
EXTERNAL:00000012	Function	ULIB.DLL::PATH::~PATH
EXTERNAL:00000013	Function	ULIB.DLL::Get_Standard_Input_Stream
EXTERNAL:00000014	Function	ULIB.DLL::PATH::PATH
EXTERNAL:00000015	Function	ULIB.DLL::MESSAGE::MakeFileToken
EXTERNAL:00000016	Function	ULIB.DLL::MESSAGE::QueryPackedLog
EXTERNAL:00000017	Function	ULIB.DLL::MESSAGE::Log
EXTERNAL:00000018	Function	ULIB.DLL::MESSAGE::DisplayMsg
EXTERNAL:00000019	Function	ULIB.DLL::MESSAGE::DisplayMsg
EXTERNAL:0000001a	Function	ULIB.DLL::MESSAGE::Display
EXTERNAL:0000001b	Function	ULIB.DLL::Get_Standard_Output_Stream
EXTERNAL:0000001c	Function	ULIB.DLL::HMEM::Resize
EXTERNAL:0000001d	Function	ULIB.DLL::HMEM::Initialize
EXTERNAL:0000001e	Function	ULIB.DLL::PATH_ARGUMENT::Initialize
EXTERNAL:0000001f	Function	ULIB.DLL::HMEM::HMEM
EXTERNAL:00000020	Function	ULIB.DLL::WSTRING::Strcat
EXTERNAL:00000021	Function	ULIB.DLL::WSTRING::Initialize
EXTERNAL:00000022	Function	ULIB.DLL::STRING_ARGUMENT::STRING_ARGUMENT
