entry	name	body_start	body_end	note
bfe00800	first_stage_entry_copy_and_init	bfe00800	bfe0089b	High confidence: NOR entry. Checks a boot magic at 0xbfe00014; if missing, copies code/data from the flash alias around 0xafc02000 to 0xbfe02000, then calls low-level init routines.
bfe0089c	sub_bfe0089c	bfe0089c	bfe008a7	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe008a8	sub_bfe008a8	bfe008a8	bfe008bf	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00db4	FUN_bfe00db4	bfe00db4	bfe00e1f	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00e20	sub_bfe00e20	bfe00e20	bfe00e2b	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00e2c	FUN_bfe00e2c	bfe00e2c	bfe00e3b	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00e3c	FUN_bfe00e3c	bfe00e3c	bfe00e57	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00e58	sub_bfe00e58	bfe00e58	bfe00e63	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00e64	FUN_bfe00e64	bfe00e64	bfe00e6b	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00e6c	FUN_bfe00e6c	bfe00e6c	bfe00ecf	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe00ed0	sub_bfe00ed0	bfe00ed0	bfe0100b	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe0100c	sub_bfe0100c	bfe0100c	bfe01027	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe01028	sub_bfe01028	bfe01028	bfe0102b	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe0102c	sub_bfe0102c	bfe0102c	bfe0103b	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe0103c	FUN_bfe0103c	bfe0103c	bfe0115f	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe01160	sub_bfe01160	bfe01160	bfe0117f	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe01180	FUN_bfe01180	bfe01180	bfe011a3	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe011a4	FUN_bfe011a4	bfe011a4	bfe01273	References 0xb882... registers, likely SPI/SF or clock-controller MMIO.
bfe01274	sub_bfe01274	bfe01274	bfe01277	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe01278	first_stage_spi_nor_command_path	bfe01278	bfe013a3	Medium confidence: talks to the SPI/SF controller registers around 0xb882e0c8 and prepares small command buffers on the stack.
bfe013a4	FUN_bfe013a4	bfe013a4	bfe013e3	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe013e4	sub_bfe013e4	bfe013e4	bfe013e7	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe013e8	FUN_bfe013e8	bfe013e8	bfe013ef	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe013f0	FUN_bfe013f0	bfe013f0	bfe01417	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe01418	sub_bfe01418	bfe01418	bfe01467	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe01468	sub_bfe01468	bfe01468	bfe014cf	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe014d0	FUN_bfe014d0	bfe014d0	bfe01587	No strong automatic classification; name and body are generated from raw MIPS control flow.
bfe01518	sub_bfe01518	bfe01518	bfe0157f	No strong automatic classification; name and body are generated from raw MIPS control flow.
