address	type	name
EXTERNAL:00000001	Function	<EXTERNAL>::EXT_FUN_a9eb0130
89da0000	Label	LAB_89da0000
89eb0000	Function	stage2_entry_cp0_cache_and_handoff
89eb00c0	Label	LAB_89eb00c0
89eb00d8	Function	sub_89eb00d8
89eb00f4	Label	LAB_89eb00f4
89eb0118	Function	<EXTERNAL>::stage2_jump_to_cached_alias
89eb0130	Function	stage2_cache_probe_and_invalidate
89eb01c4	Label	LAB_89eb01c4
89eb01d4	Label	LAB_89eb01d4
89eb0280	Label	LAB_89eb0280
89eb0290	Label	LAB_89eb0290
89eb0298	Function	FUN_89eb0298
89eb02bc	Label	LAB_89eb02bc
89eb02f0	Label	LAB_89eb02f0
89eb02f8	Function	sub_89eb02f8
89eb02fc	Function	sub_89eb02fc
89eb0300	Label	LAB_89eb0300
89eb0308	Function	sub_89eb0308
89eb0310	Function	sub_89eb0310
89eb0318	Function	sub_89eb0318
89eb032c	Function	stage2_main_handoff_wrapper
89eb0348	Function	sub_89eb0348
89eb03c8	Label	LAB_89eb03c8
89eb03cc	Label	LAB_89eb03cc
89eb03dc	Function	sub_89eb03dc
89eb03e0	Function	sub_89eb03e0
89eb03e8	Function	FUN_89eb03e8
89eb03f4	Label	LAB_89eb03f4
89eb0404	Function	sub_89eb0404
89eb0420	Function	FUN_89eb0420
89eb0430	Function	sub_89eb0430
89eb043c	Function	FUN_89eb043c
89eb0470	Label	LAB_89eb0470
89eb0494	Label	LAB_89eb0494
89eb04b0	Label	LAB_89eb04b0
89eb04c0	Label	LAB_89eb04c0
89eb04c8	Function	sub_89eb04c8
89eb04e0	Label	LAB_89eb04e0
89eb04f8	Function	FUN_89eb04f8
89eb0530	Label	LAB_89eb0530
89eb0570	Label	LAB_89eb0570
89eb0608	Label	LAB_89eb0608
89eb0640	Label	LAB_89eb0640
89eb0694	Label	LAB_89eb0694
89eb06b8	Label	LAB_89eb06b8
89eb06d4	Label	LAB_89eb06d4
89eb06f8	Label	LAB_89eb06f8
89eb0724	Label	LAB_89eb0724
89eb074c	Label	LAB_89eb074c
89eb0774	Label	LAB_89eb0774
89eb079c	Label	LAB_89eb079c
89eb07c4	Label	LAB_89eb07c4
89eb07ec	Label	LAB_89eb07ec
89eb0814	Label	LAB_89eb0814
89eb083c	Label	LAB_89eb083c
89eb0864	Label	LAB_89eb0864
89eb088c	Label	LAB_89eb088c
89eb08b4	Label	LAB_89eb08b4
89eb08dc	Label	LAB_89eb08dc
89eb0904	Label	LAB_89eb0904
89eb092c	Label	LAB_89eb092c
89eb0938	Label	LAB_89eb0938
