MemTotal:          43164 kB
MemFree:           11936 kB
MemAvailable:      32288 kB
Buffers:             976 kB
Cached:            21044 kB
SwapCached:            0 kB
Active:             6404 kB
Inactive:          18636 kB
Active(anon):       3020 kB
Inactive(anon):        0 kB
Active(file):       3384 kB
Inactive(file):    18636 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:        131068 kB
SwapFree:         131068 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:          3052 kB
Mapped:             9512 kB
Shmem:                 0 kB
Slab:               3116 kB
SReclaimable:       1012 kB
SUnreclaim:         2104 kB
KernelStack:         384 kB
PageTables:          172 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      152648 kB
Committed_AS:      72124 kB
VmallocTotal:    1048372 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
